id,name,total_picks,total_ban,total_win,total_lost,win_rate,total_radiant,total_win_r,total_lost_r,win_rate_r,total_dire,total_win_d,total_lost_d,win_rate_d
1,Elder Titan,73,48,44,29,60.27%,38,23,15,60.53%,35,21,14,60.00%
2,Tidehunter,63,79,33,30,52.38%,35,21,14,60.00%,28,12,16,42.86%
3,Earthshaker,61,48,31,30,50.82%,22,11,11,50.00%,39,20,19,51.28%
4,Snapfire,61,42,28,33,45.90%,33,15,18,45.45%,28,13,15,46.43%
5,Io,60,115,23,37,38.33%,35,17,18,48.57%,25,6,19,24.00%
6,Tiny,55,132,29,26,52.73%,28,14,14,50.00%,27,15,12,55.56%
7,Weaver,52,76,25,27,48.08%,25,15,10,60.00%,27,10,17,37.04%
8,Monkey King,48,140,28,20,58.33%,27,17,10,62.96%,21,11,10,52.38%
9,Lion,48,20,25,23,52.08%,20,13,7,65.00%,28,12,16,42.86%
10,Storm Spirit,47,82,22,25,46.81%,29,16,13,55.17%,18,6,12,33.33%
11,Magnus,44,31,29,15,65.91%,20,14,6,70.00%,24,15,9,62.50%
12,Void Spirit,43,30,21,22,48.84%,28,14,14,50.00%,15,7,8,46.67%
13,Mars,41,47,13,28,31.71%,20,8,12,40.00%,21,5,16,23.81%
14,Lina,40,73,23,17,57.50%,15,10,5,66.67%,25,13,12,52.00%
15,Disruptor,39,14,22,17,56.41%,21,12,9,57.14%,18,10,8,55.56%
16,Ember Spirit,36,38,25,11,69.44%,24,19,5,79.17%,12,6,6,50.00%
17,Bane,32,16,25,7,78.13%,11,10,1,90.91%,21,15,6,71.43%
18,Doom,31,47,20,11,64.52%,18,11,7,61.11%,13,9,4,69.23%
19,Morphling,30,86,18,12,60.00%,15,9,6,60.00%,15,9,6,60.00%
20,Lycan,30,47,13,17,43.33%,16,9,7,56.25%,14,4,10,28.57%
21,Legion Commander,29,26,15,14,51.72%,16,10,6,62.50%,13,5,8,38.46%
22,Invoker,29,113,11,18,37.93%,10,4,6,40.00%,19,7,12,36.84%
23,Medusa,27,59,13,14,48.15%,11,6,5,54.55%,16,7,9,43.75%
24,Silencer,26,26,13,13,50.00%,14,8,6,57.14%,12,5,7,41.67%
25,Spectre,25,41,16,9,64.00%,9,8,1,88.89%,16,8,8,50.00%
26,Phoenix,25,15,11,14,44.00%,10,3,7,30.00%,15,8,7,53.33%
27,Kunkka,24,35,13,11,54.17%,13,8,5,61.54%,11,5,6,45.45%
28,Nature's Prophet,23,13,14,9,60.87%,17,10,7,58.82%,6,4,2,66.67%
29,Luna,23,34,13,10,56.52%,16,10,6,62.50%,7,3,4,42.86%
30,Terrorblade,23,43,12,11,52.17%,13,7,6,53.85%,10,5,5,50.00%
31,Leshrac,23,32,8,15,34.78%,14,5,9,35.71%,9,3,6,33.33%
32,Ogre Magi,22,5,12,10,54.55%,12,7,5,58.33%,10,5,5,50.00%
33,Ursa,21,53,9,12,42.86%,13,6,7,46.15%,8,3,5,37.50%
34,Sven,21,52,8,13,38.10%,14,5,9,35.71%,7,3,4,42.86%
35,Night Stalker,20,39,8,12,40.00%,9,4,5,44.44%,11,4,7,36.36%
36,Dragon Knight,20,9,7,13,35.00%,13,6,7,46.15%,7,1,6,14.29%
37,Puck,19,54,9,10,47.37%,10,4,6,40.00%,9,5,4,55.56%
38,Gyrocopter,19,22,4,15,21.05%,9,3,6,33.33%,10,1,9,10.00%
39,Winter Wyvern,18,16,13,5,72.22%,10,6,4,60.00%,8,7,1,87.50%
40,Rubick,18,16,10,8,55.56%,9,6,3,66.67%,9,4,5,44.44%
41,Sand King,18,15,6,12,33.33%,8,4,4,50.00%,10,2,8,20.00%
42,Clockwerk,17,8,6,11,35.29%,9,4,5,44.44%,8,2,6,25.00%
43,Templar Assassin,16,37,10,6,62.50%,7,5,2,71.43%,9,5,4,55.56%
44,Mirana,16,6,8,8,50.00%,8,4,4,50.00%,8,4,4,50.00%
45,Queen of Pain,16,35,6,10,37.50%,8,4,4,50.00%,8,2,6,25.00%
46,Faceless Void,15,67,9,6,60.00%,8,5,3,62.50%,7,4,3,57.14%
47,Troll Warlord,15,27,6,9,40.00%,7,3,4,42.86%,8,3,5,37.50%
48,Enchantress,14,4,9,5,64.29%,6,4,2,66.67%,8,5,3,62.50%
49,Pangolier,14,11,5,9,35.71%,8,3,5,37.50%,6,2,4,33.33%
50,Dawnbreaker,13,10,6,7,46.15%,7,3,4,42.86%,6,3,3,50.00%
51,Treant Protector,13,11,5,8,38.46%,4,2,2,50.00%,9,3,6,33.33%
52,Ancient Apparition,12,28,7,5,58.33%,4,3,1,75.00%,8,4,4,50.00%
53,Razor,12,24,7,5,58.33%,5,4,1,80.00%,7,3,4,42.86%
54,Undying,12,7,7,5,58.33%,7,5,2,71.43%,5,2,3,40.00%
55,Clinkz,12,8,5,7,41.67%,7,2,5,28.57%,5,3,2,60.00%
56,Wraith King,11,7,6,5,54.55%,3,1,2,33.33%,8,5,3,62.50%
57,Beastmaster,11,44,5,6,45.45%,8,4,4,50.00%,3,1,2,33.33%
58,Lifestealer,11,26,5,6,45.45%,6,2,4,33.33%,5,3,2,60.00%
59,Timbersaw,11,22,5,6,45.45%,5,1,4,20.00%,6,4,2,66.67%
60,Tinker,10,29,8,2,80.00%,2,1,1,50.00%,8,7,1,87.50%
61,Dark Willow,10,4,6,4,60.00%,6,4,2,66.67%,4,2,2,50.00%
62,Earth Spirit,10,2,5,5,50.00%,6,3,3,50.00%,4,2,2,50.00%
63,Nyx Assassin,10,7,5,5,50.00%,8,5,3,62.50%,2,0,2,0.00%
64,Shadow Demon,10,16,3,7,30.00%,5,1,4,20.00%,5,2,3,40.00%
65,Skywrath Mage,10,4,3,7,30.00%,1,1,0,100.00%,9,2,7,22.22%
66,Necrophos,9,19,6,3,66.67%,3,2,1,66.67%,6,4,2,66.67%
67,Shadow Fiend,9,8,4,5,44.44%,3,1,2,33.33%,6,3,3,50.00%
68,Vengeful Spirit,9,9,3,6,33.33%,3,0,3,0.00%,6,3,3,50.00%
69,Dark Seer,9,16,2,7,22.22%,6,2,4,33.33%,3,0,3,0.00%
70,Bloodseeker,8,24,5,3,62.50%,4,3,1,75.00%,4,2,2,50.00%
71,Venomancer,8,22,5,3,62.50%,2,1,1,50.00%,6,4,2,66.67%
72,Windranger,8,1,5,3,62.50%,4,2,2,50.00%,4,3,1,75.00%
73,Abaddon,8,8,4,4,50.00%,5,2,3,40.00%,3,2,1,66.67%
74,Juggernaut,8,19,4,4,50.00%,4,2,2,50.00%,4,2,2,50.00%
75,Slardar,8,14,4,4,50.00%,3,2,1,66.67%,5,2,3,40.00%
76,Slark,8,37,4,4,50.00%,4,3,1,75.00%,4,1,3,25.00%
77,Tusk,8,4,4,4,50.00%,1,1,0,100.00%,7,3,4,42.86%
78,Hoodwink,8,3,3,5,37.50%,5,2,3,40.00%,3,1,2,33.33%
79,Crystal Maiden,7,2,3,4,42.86%,2,1,1,50.00%,5,2,3,40.00%
80,Shadow Shaman,7,1,3,4,42.86%,4,2,2,50.00%,3,1,2,33.33%
81,Bristleback,6,5,2,4,33.33%,2,0,2,0.00%,4,2,2,50.00%
82,Death Prophet,6,8,2,4,33.33%,1,0,1,0.00%,5,2,3,40.00%
83,Batrider,6,41,1,5,16.67%,2,0,2,0.00%,4,1,3,25.00%
84,Jakiro,6,0,1,5,16.67%,1,1,0,100.00%,5,0,5,0.00%
85,Pugna,5,1,3,2,60.00%,0,0,0,-,5,3,2,60.00%
86,Underlord,5,1,3,2,60.00%,3,1,2,33.33%,2,2,0,100.00%
87,Bounty Hunter,5,4,2,3,40.00%,3,2,1,66.67%,2,0,2,0.00%
88,Centaur Warrunner,5,1,2,3,40.00%,4,1,3,25.00%,1,1,0,100.00%
89,Oracle,5,5,2,3,40.00%,3,1,2,33.33%,2,1,1,50.00%
90,Phantom Assassin,5,5,2,3,40.00%,1,0,1,0.00%,4,2,2,50.00%
91,Sniper,5,4,2,3,40.00%,1,0,1,0.00%,4,2,2,50.00%
92,Witch Doctor,5,0,2,3,40.00%,4,2,2,50.00%,1,0,1,0.00%
93,Naga Siren,5,11,1,4,20.00%,1,1,0,100.00%,4,0,4,0.00%
94,Drow Ranger,4,3,3,1,75.00%,2,2,0,100.00%,2,1,1,50.00%
95,Chaos Knight,4,1,2,2,50.00%,3,1,2,33.33%,1,1,0,100.00%
96,Phantom Lancer,4,16,2,2,50.00%,1,1,0,100.00%,3,1,2,33.33%
97,Anti-Mage,3,13,1,2,33.33%,1,1,0,100.00%,2,0,2,0.00%
98,Grimstroke,3,7,1,2,33.33%,1,0,1,0.00%,2,1,1,50.00%
99,Viper,3,18,1,2,33.33%,1,0,1,0.00%,2,1,1,50.00%
100,Brewmaster,3,2,0,3,0.00%,0,0,0,-,3,0,3,0.00%
101,Chen,2,3,2,0,100.00%,0,0,0,-,2,2,0,100.00%
102,Visage,2,1,2,0,100.00%,1,1,0,100.00%,1,1,0,100.00%
103,Lich,2,0,1,1,50.00%,0,0,0,-,2,1,1,50.00%
104,Axe,2,0,0,2,0.00%,0,0,0,-,2,0,2,0.00%
105,Arc Warden,1,2,1,0,100.00%,1,1,0,100.00%,0,0,0,-
106,Riki,1,1,1,0,100.00%,1,1,0,100.00%,0,0,0,-
107,Alchemist,1,1,0,1,0.00%,0,0,0,-,1,0,1,0.00%
108,Dazzle,1,0,0,1,0.00%,0,0,0,-,1,0,1,0.00%
109,Enigma,1,1,0,1,0.00%,1,0,1,0.00%,0,0,0,-
110,Keeper of the Light,1,0,0,1,0.00%,1,0,1,0.00%,0,0,0,-
111,Omniknight,1,0,0,1,0.00%,1,0,1,0.00%,0,0,0,-
112,Pudge,1,0,0,1,0.00%,0,0,0,-,1,0,1,0.00%
113,Warlock,1,0,0,1,0.00%,1,0,1,0.00%,0,0,0,-
114,Huskar,0,1,0,0,-,0,0,0,-,0,0,0,-
